platformId,postUrl
3580272985334340_6180681388626807,https://www.facebook.com/groups/3580272985334340/permalink/6180681388626807
981118702617706_1179317326131175,https://www.facebook.com/groups/981118702617706/permalink/1179317326131175
100027190886703_949654725950881,https://www.facebook.com/100027190886703/posts/949654725950881
1389150271330725_3400636653515400,https://www.facebook.com/groups/1389150271330725/permalink/3400636653515400
1690986594304040_5357505037652159,https://www.facebook.com/groups/1690986594304040/permalink/5357505037652159
1507304282867241_3236603696603949,https://www.facebook.com/1507304282867241/posts/3236603696603949
188088891305021_5560487714065085,https://www.facebook.com/groups/188088891305021/permalink/5560487714065085
100064034290578_483782780432861,https://www.facebook.com/100064034290578/posts/483782780432861
646297662122954_5459436187475720,https://www.facebook.com/646297662122954/posts/5459436187475720
100045475324321_630697018456137,https://www.facebook.com/100045475324321/posts/630697018456137
302150710330349_1262880340924043,https://www.facebook.com/groups/302150710330349/permalink/1262880340924043
100070922354798_200253492348728,https://www.facebook.com/100070922354798/posts/200253492348728
100064333255717_472103268277444,https://www.facebook.com/100064333255717/posts/472103268277444
2555702584517993_5669562223131998,https://www.facebook.com/groups/2555702584517993/permalink/5669562223131998
221394604697879_1985912921579363,https://www.facebook.com/groups/221394604697879/permalink/1985912921579363
1499262490104097_5928247283872240,https://www.facebook.com/groups/1499262490104097/permalink/5928247283872240
105296692304105_124318803735227,https://www.facebook.com/105296692304105/posts/124318803735227
141064019310457_5422684134481726,https://www.facebook.com/groups/141064019310457/permalink/5422684134481726
145357553005815_1157913158416911,https://www.facebook.com/groups/145357553005815/permalink/1157913158416911
335381326793877_1860878130910848,https://www.facebook.com/groups/335381326793877/permalink/1860878130910848
338049475695_10166449709650696,https://www.facebook.com/338049475695/posts/10166449709650696
1396053020629806_3347382385496850,https://www.facebook.com/groups/1396053020629806/permalink/3347382385496850
1015717322241172_1502996703513229,https://www.facebook.com/groups/1015717322241172/permalink/1502996703513229
718291175471610_1142355509731839,https://www.facebook.com/groups/718291175471610/permalink/1142355509731839
608039619639936_1566550517122170,https://www.facebook.com/groups/608039619639936/permalink/1566550517122170
543890322343843_5653532031379621,https://www.facebook.com/groups/543890322343843/permalink/5653532031379621
100027190886703_949653992617621,https://www.facebook.com/100027190886703/posts/949653992617621
201262339903738_6052456634784250,https://www.facebook.com/groups/201262339903738/permalink/6052456634784250
302150710330349_1262902417588502,https://www.facebook.com/groups/302150710330349/permalink/1262902417588502
297883886935125_5749006421822817,https://www.facebook.com/297883886935125/posts/5749006421822817
672753003099556_1749282588779920,https://www.facebook.com/groups/672753003099556/permalink/1749282588779920
396246158583385_666510578223607,https://www.facebook.com/groups/396246158583385/permalink/666510578223607
504519503056637_2329958500512719,https://www.facebook.com/groups/504519503056637/permalink/2329958500512719
100063764345135_515744117227729,https://www.facebook.com/100063764345135/posts/515744117227729
735119899944630_5452989858157587,https://www.facebook.com/735119899944630/posts/5452989858157587
189750548578719_1114853156068449,https://www.facebook.com/189750548578719/posts/1114853156068449
2024470984249481_6161528510543687,https://www.facebook.com/2024470984249481/posts/6161528510543687
117424930572_10166537174385573,https://www.facebook.com/117424930572/posts/10166537174385573
277670092775899_1288784358331129,https://www.facebook.com/groups/277670092775899/permalink/1288784358331129
47275030099_10159724923905100,https://www.facebook.com/groups/47275030099/permalink/10159724923905100
172209969941744_1441281229701272,https://www.facebook.com/groups/172209969941744/permalink/1441281229701272
315623715821632_1090325555018107,https://www.facebook.com/groups/315623715821632/permalink/1090325555018107
132250907980_10159313750492981,https://www.facebook.com/groups/132250907980/permalink/10159313750492981
2614235405356976_5623728871074266,https://www.facebook.com/groups/2614235405356976/permalink/5623728871074266
245942318812893_8084071551666558,https://www.facebook.com/245942318812893/posts/8084071551666558
110125462821096_1441826659650963,https://www.facebook.com/110125462821096/posts/1441826659650963
167079259973336_6236029063078295,https://www.facebook.com/167079259973336/posts/6236029063078295
717728942303539_1300232030719891,https://www.facebook.com/groups/717728942303539/permalink/1300232030719891
285047769319339_862871388203638,https://www.facebook.com/groups/285047769319339/permalink/862871388203638
100025904936896_1068356547371166,https://www.facebook.com/100025904936896/posts/1068356547371166
100025904936896_1068356524037835,https://www.facebook.com/100025904936896/posts/1068356524037835
1092796654535557_1426797157802170,https://www.facebook.com/groups/1092796654535557/permalink/1426797157802170
467750016631602_8153950551344805,https://www.facebook.com/groups/467750016631602/permalink/8153950551344805
962654337604810_1327187447818162,https://www.facebook.com/groups/962654337604810/permalink/1327187447818162
220274881389918_5831997253550958,https://www.facebook.com/220274881389918/posts/5831997253550958
