Name,Twitter-Handle,Party,Gender
Sudano Valeria,SudanoValeria,Lega,F
Toccalini Luca,LucaToccalini,Lega,M
Ziello Edoardo,EdoardoZiello1,Lega,M
Zinzi Gianpiero,gianpierozinzi,Lega,M
Zoffili Eugenio,eugenio_zoffili,Lega,M
Aiello Davide,DavideAiello85,Movimento 5s,M
Alifano Enrica,-----,Movimento 5s,F
Amato Gaetano,-----,Movimento 5s,M
Appendino Chiara,c_appendino,Movimento 5s,F
Ascari Stefania,stefania_ascari,Movimento 5s,F
Auriemma Carmela,-----,Movimento 5s,F
Baldino Vittoria,BaldinoVittoria,Movimento 5s,F
Barzotti Valentina,barzottivale,Movimento 5s,F
Bruno Raffaele,-----,Movimento 5s,M
Cafiero De Raho Federico,-----,Movimento 5s,M
Cantone Luciano,cantone_dep,Movimento 5s,M
Cappelletti Enrico,e_cappelletti,Movimento 5s,M
Caramiello Alessandro,-----,Movimento 5s,M
Carmina Ida,idacarmina,Movimento 5s,F
Carotenuto Dario,Dario5S,Movimento 5s,M
Caso Antonio,-----,Movimento 5s,M
Cherchi Susanna,susannacherchi,Movimento 5s,F
Colucci Alfonso,colucci_alfonso,Movimento 5s,M
Conte Giuseppe,GiuseppeConteIT,Movimento 5s,M
Costa Sergio,SergioCosta_Gen,Movimento 5s,M
Dell'Olio Gianmauro,gmdellolio,Movimento 5s,M
Di Lauro Carmen,Carmen_DiLa,Movimento 5s,F
Donno Leonardo,LeonDonnoM5S,Movimento 5s,M
D'Orso Valentina,-----,Movimento 5s,F
Fede Giorgio,GiorgioFede,Movimento 5s,M
Fenu Emiliano,emiliano_fenu,Movimento 5s,M
Fontana Ilaria,ilariafontana5s,Movimento 5s,F
Giuliano Carla,-----,Movimento 5s,F
Gubitosa Michele,MicheleGubitosa,Movimento 5s,M
Iaria Antonino,AntoninoIaria5,Movimento 5s,M
L'Abbate Patty,Patty_LAbbate,Movimento 5s,F
Lomuti Arnaldo,LomutiArnaldo,Movimento 5s,M
Lovecchio Giorgio,Giorgiolovecc,Movimento 5s,M
Morfino Daniela,DanielaMorfino,Movimento 5s,F
Onori Federica,-----,Movimento 5s,F
Orrico Anna Laura,AnnaLauraOrrico,Movimento 5s,F
Pavanelli Emma,EmmaPavanelli,Movimento 5s,F
Pellegrini Marco,MPellegrini_m5s,Movimento 5s,M
Penza Pasqualino,-----,Movimento 5s,M
Quartini Andrea,quartini60,Movimento 5s,M
Raffa Angela,RaffaAngela,Movimento 5s,F
Ricciardi Marianna,-----,Movimento 5s,F
Ricciardi Riccardo,RicRicciardi,Movimento 5s,M
Santilo Agostino,Ago_SantilloM5S,Movimento 5s,M
Scerra Filippo,FilippoScerra,Movimento 5s,M
Scutellà Elisa,-----,Movimento 5s,F
Silvestri Francesco,FraSilvestriM5S,Movimento 5s,M
Sportiello Gilda,SportielloGilda,Movimento 5s,F
Todde Alessandra,Ale_ToddeM5S,Movimento 5s,F
Torto Daniela,daniela_torto,Movimento 5s,F
Traversi Roberto,TraversiRoberto,Movimento 5s,M
Tucci Riccardo,RicTucci,Movimento 5s,M
