Cognome e nome,Tipo elezione,Coalizione,FACEBOOK,FACEBOOK NAME,INSTAGRAM
GIRELLI GIAN ANTONIO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/GianniGirelli2021,Gian Antonio Girelli,
GIULIANO CARLA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/CarlaGiulianoM5S,Carla Giuliano,
GNASSI ANDREA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/andreagnassi.rn,Andrea Gnassi,https://www.instagram.com/andrea_gnassi_rimini/
GRAZIANO STEFANO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/stefanograziano2015,Stefano Graziano,
GRIBAUDO CHIARA,Camera Italia,CENTROSINISTRA,https://www.facebook.com/chiaragribaudo,Chiara Gribaudo,https://www.instagram.com/chiara.gribaudo/
GRIMALDI MARCO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/marcogrimalditorino,Marco Grimaldi - Alleanza Verdi Sinistra,
GRIPPO VALENTINA,Camera Italia,TERZO POLO,https://www.facebook.com/ValentinaGrippoOfficial,Valentina Grippo,https://www.instagram.com/vgrippo/
GUBITOSA MICHELE,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/michelegubitosam5s,Michele Gubitosa,https://www.instagram.com/michelegubitosa/
GUERINI LORENZO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/lorenzogueriniufficiale,Lorenzo Guerini,https://www.instagram.com/guerinilorenzo/
GUSMEROLI ALBERTO LUIGI,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100052088601643,Alberto Gusmeroli ViceSindaco di Arona e Deputato della Lega,https://www.instagram.com/alberto_gusmeroli/
IAIA DARIO,Camera Italia,CENTRODESTRA,https://www.facebook.com/dario.iaia73,Dario Iaia,https://www.instagram.com/dario.iaia/
KELANY SARA,Camera Italia,CENTRODESTRA,https://www.facebook.com/profile.php?id=100086752925413,Sara Kelany,https://www.instagram.com/sarakelany78/
LA PORTA CHIARA,Camera Italia,CENTRODESTRA,https://www.facebook.com/chiaralaporta.paginaufficiale,Chiara La Porta,
LA SALANDRA GIANDONATO,Camera Italia,CENTRODESTRA,https://www.facebook.com/giandonatolasalandrafdi,Giandonato La Salandra - Fratelli d'Italia,https://www.instagram.com/giandonatolasalandrafdi/
L'ABBATE PASQUA,Camera Italia,MOVIMENTO 5 STELLE,https://www.facebook.com/SenPattyLAbbate,Patty L'Abbate,https://www.instagram.com/patty_labbate/
LACARRA MARCO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/marcolacarraofficial,Marco Lacarra,
LAI BACHISIO SILVIO,Camera Italia,CENTROSINISTRA,https://www.facebook.com/profile.php?id=100057781674185,Silvio Lai,
LAMPIS GIANNI,Camera Italia,CENTRODESTRA,https://www.facebook.com/gianni.lampis.ufficiale,Gianni Lampis,https://www.instagram.com/gianni_lampis/
LANCELLOTTA ELISABETTA CHRISTIANA,Camera Italia,CENTRODESTRA,https://www.facebook.com/lancellottaelisabetta,Elisabetta Lancellotta,
